Classement,Nom,Lieu,Lien,Latitude_top50,Longitude_top50,Nom_clean_top50,Commune_clean_top50,Festival match,Nom du festival,Envergure territoriale,Région principale de déroulement,Département principal de déroulement,Commune principale de déroulement,Site internet du festival,Adresse e-mail,Discipline dominante,Période principale de déroulement du festival,Identifiant,Géocodage xy,Nouvelles sous-catégories spectacle vivant,Nouvelles sous-catégories arts visuels,Nouvelles sous-catégories cinéma et audiovisuel,Nouvelles sous-catégories livre et littérature,Nouvelles sous-catégories musique,Nom_clean_france,Commune_clean_france,Latitude_france,Longitude_france
38,FESTIVAL DU BOUT DU MONDE,Camaret Sur Mer,https://infoconcert.com/festival/festival-du-bout-du-monde-1725/concerts.html,48.2772747,-4.5968963,festival du bout du monde,camaret sur mer,Festival du Bout du Monde,Festival du Bout du Monde,,Bretagne,Finistère,Crozon,www.festivalduboutdumonde.com,contact@quai-ouest.net,Musique,Saison (21 juin - 5 septembre),FEST_29042_1897,"48.2449715382, -4.49170347769",,,,,"['Musiques actuelles et populaires', 'Musiques électroniques', 'Jazz, blues, RnB', 'Musique rock et métal', 'Musiques du monde', 'Musique classique et opéra']",festival du bout du monde,crozon,48.2449715382,-4.49170347769
39,MARSATAC,Marseille,https://infoconcert.com/festival/marsatac-2003/concerts.html,43.2961743,5.3699525,marsatac,marseille,Marsatac,Marsatac,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,http://marsatac.com,contact@marsatac.com,Musique,Saison (21 juin - 5 septembre),FEST_13055_3752,"43.296346, 5.369889",,,,,['Musiques électroniques'],marsatac,marseille,43.296346,5.369889
40,EUROPAVOX,Clermont Ferrand,https://infoconcert.com/festival/europavox-3700/concerts.html,45.7774551,3.0819427,europavox,clermont ferrand,Europavox,Europavox,,Auvergne-Rhône-Alpes,Puy-de-Dôme,Clermont-Ferrand,www.europavox.com,francois@europavox.com,Musique,Avant-saison (1er janvier - 20 juin),FEST_63113_1671,"45.7856492991, 3.11554542903",,,,,['Musiques actuelles et populaires'],europavox,clermont-ferrand,45.7856492991,3.11554542903
41,BACCHUS FESTIVAL,Argeles Sur Mer,https://infoconcert.com/festival/bacchus-festival-13967/concerts.html,42.5476734,3.0253613,bacchus festival,argeles sur mer,"Maghreb si loin, si proche","Maghreb si loin, si proche",Régionale,Occitanie,Pyrénées-Orientales,Argelès-sur-Mer,https://lartvues.com/cinema-25eme-festival-maghreb-si-loin-si-proche-se-tient-du-15-au-30-janvier-dans-les-pyrenees-orientales-et-laude/,contact@cinemaginaire.org,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),FEST_66008_323,"42.5352193463, 3.02429862885",,,"['Cinéma généraliste court métrage', 'Jeunes publics', 'Cinéma généraliste long métrage']",,,"maghreb si loin, si proche",argelès-sur-mer,42.5352193463,3.02429862885
42,ROSE FESTIVAL,Aussonne,https://infoconcert.com/festival/rose-festival-13587/concerts.html,43.6828953,1.31799,rose festival,aussonne,Festival russe,Festival russe,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,www.toursky.fr,administration@toursky.fr,Spectacle vivant ; Musique,Avant-saison (1er janvier - 20 juin),FEST_13055_3720,"43.296346, 5.369889","['Théâtre', 'Humour et Café-Théâtre']",,,,['Musique classique et opéra'],festival russe,marseille,43.296346,5.369889
43,"BOBITAL, L'ARMOR A SONS",Bobital,https://infoconcert.com/festival/bobital-larmor-a-sons-5999/concerts.html,48.413601,-2.102638,"bobital, l'armor a sons",bobital,Bobital - L'Armor à Sons,Bobital - L'Armor à Sons,,Bretagne,Côtes-d'Armor,Bobital,www.bobital-festival.fr,info@bobital-festival.fr,Musique,Saison (21 juin - 5 septembre),FEST_22008_871,"48.4144897659, -2.09704568121",,,,,"['Musiques actuelles et populaires', 'Musiques électroniques', 'Musique rock et métal', 'Musiques du monde', 'Musique classique et opéra']",bobital - l'armor à sons,bobital,48.4144897659,-2.09704568121
44,MONTREUX JAZZ FESTIVAL,Montreux,https://infoconcert.com/festival/montreux-jazz-festival-1821/concerts.html,46.4310831,6.9129921,montreux jazz festival,montreux,Festival d'Humour et de Jazz,Festival d'Humour et de Jazz,,Grand Est,Meurthe-et-Moselle,Montreux,,humbertch@west-telecom.com associationjust@gmail.com,Spectacle vivant,Avant-saison (1er janvier - 20 juin),FEST_54381_4149,"48.5354543018, 6.88782007418",['Humour et Café-Théâtre'],,,,,festival d'humour et de jazz,montreux,48.5354543018,6.88782007418
45,FESTIVAL CABARET VERT,Charleville Mezieres,https://infoconcert.com/festival/festival-cabaret-vert-3376/concerts.html,49.7735712,4.7206939,festival cabaret vert,charleville mezieres,Salon des littératures maudites,Salon des littératures maudites,,Grand Est,Ardennes,Charleville-Mézières,https://mediatheques.ardenne-metropole.fr,loic.blavier@ardenne-metropole.fr,"Livre, littérature",Avant-saison (1er janvier - 20 juin),FEST_08105_1489,"49.7752965803, 4.71724655966",,,,,,salon des littératures maudites,charleville-mézières,49.7752965803,4.71724655966
46,MONTE CARLO SUMMER FESTIVAL,Monaco,https://infoconcert.com/festival/monte-carlo-summer-festival-3385/concerts.html,43.7323492,7.4276832,monte carlo summer festival,monaco,Les soirées Sacha Guitry,Les soirées Sacha Guitry,,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Cap-D'Ail,www.cap-dail.fr,communication@cap-dail.fr,Spectacle vivant,Avant-saison (1er janvier - 20 juin),FEST_06032_1242,"43.7247392327, 7.40161617522",['Théâtre'],,,,,les soirées sacha guitry,cap-d'ail,43.7247392327,7.40161617522
47,BOOMIN FEST,Nantes,https://infoconcert.com/festival/boomin-fest-13379/concerts.html,47.2186371,-1.5541362,boomin fest,nantes,Nature Nomade,Nature Nomade,,Pays de la Loire,Loire-Atlantique,Nantes,naturenomade.fr,naturenomade44@gmail.com,"Livre, littérature",Après-saison (6 septembre - 31 décembre),FEST_44109_4313,"47.2316356767, -1.54831008605",,,,['Romans et Littérature Générale'],,nature nomade,nantes,47.2316356767,-1.54831008605
48,DELTA FESTIVAL,Marseille,https://infoconcert.com/festival/delta-festival-10018/concerts.html,43.2961743,5.3699525,delta festival,marseille,Delta festival,Delta festival,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,www.delta-festival.com,communication@delta-festival.fr,Musique,Saison (21 juin - 5 septembre),FEST_13055_3701,"43.296346, 5.369889",,,,,"['Musiques actuelles et populaires', 'Musiques électroniques', 'Jazz, blues, RnB', 'Musiques du monde', 'Musique rock et métal', 'Musique classique et opéra']",delta festival,marseille,43.296346,5.369889
49,FESTIVAL DE POUPET,Saint Malo Du Bois,https://infoconcert.com/festival/festival-de-poupet-1920/concerts.html,46.9287366,-0.9005877,festival de poupet,saint malo du bois,Festival de Poupet,Festival de Poupet,Intercommunale,Pays de la Loire,Vendée,Saint-Malô-du-Bois,www.festival-poupet.com,contact@festival-poupet.com,Musique,Saison (21 juin - 5 septembre),FEST_85240_6013,"46.9248120291, -0.914182961099",,,,,"['Musiques actuelles et populaires', 'Musiques électroniques', 'Musique rock et métal', 'Musiques du monde', 'Musique classique et opéra']",festival de poupet,saint-malô-du-bois,46.9248120291,-0.914182961099
50,JARDIN SONORE,Vitrolles,https://infoconcert.com/festival/jardin-sonore-12274/concerts.html,44.4347105,5.9496043,jardin sonore,vitrolles,Jardin sonore festival,Jardin sonore festival,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Vitrolles,www.jardinsonorefestival.com,langlais.alex@gmail.com,Musique,Saison (21 juin - 5 septembre),FEST_13117_7171,"43.4497831674, 5.26357787665",,,,,"['Musiques actuelles et populaires', 'Musiques électroniques', 'Musique rock et métal', 'Musiques du monde', 'Musique classique et opéra']",jardin sonore festival,vitrolles,43.4497831674,5.26357787665
